Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
cntTestCashRegister,blocks,Block,,x,Test Cash Register,,,,,,,,,,,,,
flagThick44Desc,blocks,Block,,x,A tribute to Thick44 The Human Man Warrior,,,,,,,,,,,,,
pictureRobertDishongPlaque,blocks,Block,,x,Robert Dishong Memorial,,,,,,,,,,,,,
pictureRobertDishongPlaqueDesc,blocks,Block,,x,R.I.P. Kinyajuu,,,,,,,,,,,,,
TestCubeA,blocks,Block,,x,Test Cube A (Block Faces),,Test Cube A (Block Faces),Cubo de pruebas A (caras de bloque),Cube de test A (faces du bloc),Cubo di prova A (facce del blocco),テストキューブA（ブロックフェイス）,시험 큐브 A (블록 페이스),Sześcian testowy A (ściany bloku),Cubo de teste A (lados do bloco),Test Cube A (Block Faces),Test Küpü A (Blok Cepheleri),Test Cube A (Block Faces),測試方塊 A（塊面）
TestCubeC,blocks,Block,,x,Test Cube C (Block Faces),,Test Cube C (Block Faces),Cubo de pruebas C (caras de bloque),Cube de test B (faces du bloc),Cubo di prova C (facce del blocco),テストキューブC（ブロックフェイス）,시험 큐브 C (블록 페이스),Sześcian testowy C (ściany bloku),Cubo de teste C (lados do bloco),Test Cube C (Block Faces),Test Küpü C (Blok Cepheleri),Test Cube C (Block Faces),測試方塊 C（塊面）
TestCubeO,blocks,Block,,x,Test Cube O (Block Faces),,Test Cube O (Block Faces),Cubo de pruebas O (caras de bloque),Cube de test O (faces du bloc),Cubo di prova O (facce del blocco),テストキューブO（ブロックフェイス）,시험 큐브 O (블록 페이스),Sześcian testowy O (ściany bloku),Cubo de teste O (lados do bloco),Test Cube O (Block Faces),Test Küpü O (Blok Cepheleri),Test Cube O (Block Faces),測試方塊 O（塊面）
TestCubeP,blocks,Block,,x,Test Cube P (Block Faces),,Test Cube P (Block Faces),Cubo de pruebas P (caras de bloque),Cube de test P (faces du bloc),Cubo di prova P (facce del blocco),テストキューブP（ブロックフェイス）,시험 큐브 P (블록 페이스),Sześcian testowy P (ściany bloku),Cubo de teste P (lados do bloco),Test Cube P (Block Faces),Test Küpü P (Blok Cepheleri),Test Cube P (Block Faces),測試方塊 P（塊面）
TestCubeY,blocks,Block,,x,Test Cube Y (Block Faces),,Test Cube Y (Block Faces),Cubo de pruebas Y (caras de bloque),Cube de test Y (faces du bloc),Cubo di prova Y (facce del blocco),テストキューブY（ブロックフェイス）,시험 큐브 Y (블록 페이스),Sześcian testowy Y (ściany bloku),Cubo de teste Y (lados do bloco),Test Cube Y (Block Faces),Test Küpü Y (Blok Cepheleri),Test Cube Y (Block Faces),測試方塊 Y（塊面）
buffHeadShotsOnlyDesc,buffs,Buff,,x,Don't you watch any zombie movies? Aim for the head! It's the only way to be sure.,,,,,,,,,,,,,
